ID;RNT;NOMBRE COMERCIAL;DIRECCION;TELEFONO;LOCALIDAD;SERVICIO A DOMICILIO;TELEFONO DOMICILIO;PAGINA WEB
2;8251;Oma Barra de Cafe Bogota Puente Aereo;Avenida Calle 26 No 106 - 47 Primer Piso Diagonal Porteria 4 (Vuelos Nacionales de Avianca);NR;Fontibon;NR;NA;http://173.254.122.220/
6;14321;Hamburguesas el Corral Centro Internacional;Carrera 7 No 32 - 83 Local 102;NR;Santafe;No;NA;www.elcorral.com
7;14324;Hamburguesas el Corral Hacienda;Centro Comercial Hacienda Santa Barbara Carrera 7 No 115 - 72 Local E-111;NR;Usaquen;No;NA;www.elcorral.com
8;14325;Hamburguesas el Corral Calle 93;Calle  93A No 14 - 30;NR;Chapinero;No;NA;www.elcorral.com
9;14333;Hamburguesas el Corral Plaza;Centro Comercial Plaza de Las 'Americas' Carrera 71 D  No 6 - 94 Sur  Local 2912;NR;Kennedy;No;NA;www.elcorral.com
10;14335;Hamburguesas el Corral Pepe Sierra;Avenida 116 No 18B - 75;NR;Usaquen;No;NA;www.elcorral.com
11;14336;Corral Gourmet Atlantis;Calle CL 80 No 13 - 48 Local 01-02;623 29 93 - ;Chapinero;NR;NA;www.elcorralgourmet.com
12;14337;Hamburguesas el Corral Atlantis;Calle 80 No 13 A - 20 Local 403;NR;Chapinero;No;NA;www.elcorral.com
13;14339;Hamburguesas el Corral Calle 100;Calle 100 No 8 - 75 Primer Piso;NR;Chapinero;No;NA;www.elcorral.com
14;14345;Hamburguesas el Corral Calle 71;Carrera 9 No 71 - 24;NR;Chapinero;No;NA;www.elcorral.com
15;14346;Corral Gourmet 93;Calle 93 A No 12 - 57 Local 3 y 4;640 62 59 - ;Chapinero;NR;NA;www.elcorralgourmet.com
16;14350;Beer Station;Avenida Calle 116 No 15 - 59;215 48 00 - ;Usaquen;NR;NA;www.beerstation.com.co
17;14351;Corral Gourmet 116;Avenida Calle 116 No 15 - 65;215 31 55 - ;Usaquen;NR;NA;www.elcorralgourmet.com
18;14352;Hamburguesas el Corral Andino;Carrera 11 No 82 - 01 Local 405;NR;Chapinero;No;NA;www.elcorral.com
19;14353;Beer Station Zona T;Calle 83 No 12 A - 63;236 93 20 - ;Chapinero;NR;NA;www.beerstation.com.co
20;14354;Hamburguesas el Corral Texaco 1;Carrera 7 No 69 - 26;NR;Chapinero;No;NA;www.elcorral.com
21;14397;La Cigale;Calle 69 A No 4 - 93;249 68 39 - 212 77 85;Chapinero;Si;249 68 39;www.lacigale.com.co
22;14419;Restaurante Casa Vieja San Diego;Carrera 10 No 26 - 60;284 73 59 - 281 01 90;Santafe;No ;NA;www.casavieja.com.co
23;14420;Crepes & Waffles;Carrera 11 No 85  - 79;676 76 00 Extension 701 - ;Chapinero;No ;NA;www.Crepesywaffles.com
