FECHA DE CORTE;NUMERO_LOCALIDAD;NOMBRE_LOCALIDAD;DANE12_ESTABLECIMIENTO_EDUCATIVO;NOMBRE_ESTABLECIMIENTO_EDUCATIVO;NIT;DANE12_SEDE_EDUCATIVA;NOMBRE_SEDE_EDUCATIVA;CONSECUTIVO;ORDEN DE SEDE;SECTOR;CLASE;NATURALEZA JURIDICA;ZONA;DIRECCION;BARRIO;TELEFONO;FAX;EMAIL;WEB;CODIGO POSTAL;CALENDARIO;GENERO;JORNADAS;NIVELES;GRADOS PREESCOLAR;GRADOS BASICA PRIMARIA;GRADOS BASICA SECUNDARIA;GRADOS MEDIA;MODELO PEDAGOGICO PREESCOLAR;MODELO PEDAGOGICO BASICA PRIMARIA;MODELO PEDAGOGICO BASICA SECUNDARIA;MODELO PEDAGOGICO MEDIA;CARACTER PARA LA MEDIA;ESPECIALIDAD PARA LA MEDIA;ENFASIS PARA EL CARACTER ACADEMICO DE LA MEDIA;DISCAPACIDAD POR CATEGORIA;TALENTOS O CAPACIDADES EXCEPCIONALES;GRUPOS ETNICOS;SITUACION DE CONFLICTO;BILINGUE;ESTRATO_GEO;No_UPZ;NOMBRE_UPZ;SECTOR_CENSAL;X;Y;RESOLUCIONES LICENCIA DE FUNCIONAMIENTO-INTEGRACION-OTRAS (DD-MM-AAAA)
JUNIO 30 - 2014;1;USAQUEN;111001000132;COLEGIO AQUILEO PARRA (IED);;111001000132;AQUILEO PARRA;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 18 A # 187 - 67;EL CEREZO;6704916 -- 6745973;6704916 EXT 115;insdiaquileoparrav1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE-NOCTURNA;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5,CICLO2;6,7,8,9,CICLO3-CICLO4;10,11,CICLO5-CICLO6;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTAEDAD Y ADULTOS;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;ACADEMICO;ACADEMICA;Z-NO INFORMA;AUDITIVA-VISUAL-MOTORA-COGNITIVA-MULTIPLE-OTRA;;;DESPLAZADO-DESVINCULADO-HIJO DESMOVILIZADO;;0;9;VERBENAL;8526;104207,83;118775,39;RES 7437 (13-NOV-1998) RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - RES 2953 (14-SEP-2011) AUTORIZA LAS CONDICIONES ADMINISTRATIVAS Y ACADEMICAS - RES 1740 (06-JUN-2002) INTEGRACION - RES 2810 (13-SEP-2002) ADOPCION NOMBRE - RES 01-001 (23-MAR-2010) AUTORIZA MANEJO DE DOCUMENTOS GIM SAN SEBASTIAN DE NARBONA - RES 4636 (15-DIC-1995) AUTORIZA ABRIR NUEVOS CURSOS EN EDUC BAS SEC Y MEDIA - RES 010042 (13-04-2009)
JUNIO 30 - 2014;1;USAQUEN;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);;111001029955;AGUSTIN FERNANDEZ;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 7 # 155 - 20;BOSQUE DE PINOS III;6791049 -- 6692881;6791049 EXT 112;coldiagustinfernan1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE-NOCTURNA;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5,CICLO1-CICLO2;6,7,8,9,CICLO3-CICLO4;10,11,CICLO5-CICLO6;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTAEDAD Y ADULTOS;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;EDUCACION TRADICIONAL-EDUCACION PARA JOVENES EN EXTRAEDAD Y ADULTOS;ACADEMICO;ACADEMICA;Z-NO INFORMA;AUDITIVA-COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO-DESVINCULADO;;0;13;LOS CEDROS;8520;105976,69;114702,23;RES 2745 28 MAR 2006 RECONOCIEMIENTO OFICIAL - 1652 (24-05-2002) INTEGRACION - 7437 13 NOV 1998 RECONOCE IFICIALMENTE Y AUTORIZA A EXPEDIR TITULO DE BACHILLER - 2953 14 SEP 2011 AUTORIZA LAS CONDICIONES ADMINISTRATIVAS Y ACADEMICAS - 2290 2 AGOS 2002 ADOPCION NOMBRE - ACUERDO 2 DE 1996 FORMALIZA LA CREACION DE CENTROS DE EDUC FORMAL EN VARIOS NIVELES - ACUERDO 15 DE 1989 CREA UNOS PLANTELES EDUC DIST
JUNIO 30 - 2014;1;USAQUEN;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);;111848000244;SAN BERNARDO;02;B;OFICIAL;DISTRITAL;OFICIAL;RURAL;KR 1 A # 161 - 24;BOSQUE DE PINOS;6771239;6771239;coldiagustinfernan1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;-1,0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO;;1;11;SAN CRISTOBAL NORTE;8535;106552,93;115184,04;RES 2745 28 MAR 2006 RECONOCIEMIENTO OFICIAL - 1652 (24-05-2002) INTEGRACION - 1229 10 ABR 2000 DETERMINA ESTAB EDUC UBICADOS EN ZONAS DE DIFICIL ACCESO
JUNIO 30 - 2014;1;USAQUEN;111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);;111848003456;SANTA CECILIA ALTA;03;C;OFICIAL;DISTRITAL;OFICIAL;RURAL;KR 1 ESTE # 163 - 60;SANTA CECILIA PUENTE NORTE;6799948;6799948;coldiagustinfernan1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;-1,0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO;;1;11;SAN CRISTOBAL NORTE;8535;106726,18;115277,61;RES 2745 28 MAR 2006 RECONOCIEMIENTO OFICIAL - 1652 (24-05-2002) INTEGRACION - 1229 10 ABR 2000 DETERMINA ESTAB EDUC UBICADOS EN ZONAS DE DIFICIL ACCESO
JUNIO 30 - 2014;1;USAQUEN;111001044806;COLEGIO FRIEDRICH NAUMANN (IED);;111001044806;FRIEDRICH NAUMANN;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;AK 7 # 171 B - 26;LA GRANJA NORTE;6796109;6682577 EXT 102;cedfriedrichnauma1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;MOTORA-COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO;;2;10;LA URIBE;8536;106056,48;116932,25;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 369 31 ENE 2007 AMPLIA PRESTACION DEL SERVICIO EDUCATIVO- 2394 (14-08-2002) INTEGRACION - 2701 3 SEP 2002 ACLARA FONDO DE SERVICIO - 3724 22 NOV 2002 ADOPCION NOMBRE - 4876 AUTORIZA ABRIR NUEVOS GRADOS
JUNIO 30 - 2014;1;USAQUEN;111001044806;COLEGIO FRIEDRICH NAUMANN (IED);;111848000198;EL CODITO;02;B;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 182 # 6 - 30;HORIZONTES NORTE;6699514;6682577 EXT 101;cedfriedrichnauma1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;AUDITIVA-MOTORA-COGNITIVA-AUTISMO;;AFROCOLOMBIANO;DESPLAZADO;;2;9;VERBENAL;8534;105793,96;117948,17;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 369 31 ENE 2007 AMPLIA PRESTACION DEL SERVICIO EDUCATIVO- 2394 (14-08-2002) INTEGRACION - 2701 3 SEP 2002
JUNIO 30 - 2014;1;USAQUEN;111001046957;COLEGIO TOBERIN (IED);;111001046957;TOBERIN;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 166 # 16 C - 15;EL TOBERIN;6696782;6790780;cedtoberin1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE;BASICA SECUNDARIA-MEDIA;;;6,7,8,9;10,11;;;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;OTRA;;;;;3;12;TOBERIN;8501;104226,79;116479,01;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3301 20 NOV 1999 RECONOCIMIENTO OFICIAL - 1738 (06-06-2002) - INTEGRACION - 2291 2 AGOS 2002 ADOPCION NOMBRE
JUNIO 30 - 2014;1;USAQUEN;111001046957;COLEGIO TOBERIN (IED);;111001086843;BABILONIA;02;B;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 14 C # 164 - 75;LA PRADERA NORTE;6721642 -- 6745420;Z-NO INFORMA;cedtoberin1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE;BASICA PRIMARIA;;3,4,5;;;;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;OTRA;;;;;3;12;TOBERIN;8502;104609,89;116250,22;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3301 20 NOV 1999 RECONOCIMIENTO OFICIAL - 1738 (06-06-2002) INTEGRACION - ACUERDO 17 1992 CREA CENTROS EDUCATIVOS OFICIALES
JUNIO 30 - 2014;1;USAQUEN;111001046957;COLEGIO TOBERIN (IED);;111848000082;LAS ORQUIDEAS;03;C;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 17 # 163 A - 22;LAS ORQUIDEAS;6708571;Z-NO INFORMA;cedtoberin1@redp.edu.co;Z-NO INFORMA;110131;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;0;1,2;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;OTRA;;;;;3;12;TOBERIN;8516;104133,97;116231,63;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3301 20 NOV 1999 RECONOCIMIENTO OFICIAL - 1738 (06-06-2002) INTEGRACION - 5581 (11-08-1987) RECONOCE Y LEGALIZA LA EXISTENCIA
JUNIO 30 - 2014;1;USAQUEN;111001086681;COLEGIO NUEVO HORIZONTE (IED);;111001041629;HORIZONTE;03;C;OFICIAL;DISTRITAL;OFICIAL;RURAL;KR 3 # 186 B - 04;LA ESTRELLITA I;6790669 -- 6793861;6793867;cednvohorizonte1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL-ACELERACION DEL APRENDIZAJE;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;VISUAL-COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO;;2;9;VERBENAL;8532;106039,21;118442,94;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3629 12 NOV 1999 RECONOCIMIENTO OFICIAL - 2143 (22-07-2002) INTEGRACION -5581 (11-08-1987) RECONOCE Y LEGALIZA LA EXISTENCIA - 1229 10 ABR 2000 DETERMINA ESTAB EDUC UBICADOS EN ZONAS DE DIFICIL ACCESO
