IDENTIFICADOR;NOMBRE;DIRECCION;CATEGORIA;TELEFONO;BARRIO_OFICIAL;POLIGONO_BARRIAL;CODIGO LOCALIDAD;LOCALIDAD;UPZ;CODIGO UPZ
145001;Hogar Sagrado Corazon;CL 117 5 A 14;Albergue Adulto Mayor C.C.;6191889;Usaquen;Usaquén;1;Usaquén;Usaquen;14
145002;Hogar San Francisco;CL 117 6 A 22;Albergue Adulto Mayor C.C.;2155584;Usaquen;Usaquén;1;Usaquén;Usaquen;14
645003;Hogar Casa Nostra;DG 50 A SUR 26 80;Albergue Adulto Mayor C.C.;2301052;El Carmen;El Carmen_;6;Tunjuelito;Venecia;42
945004;Hogar Santa Teresa Jornet;KR 97 22 G 64;Albergue Adulto Mayor C.C.;6273148;Ferrocaja Fontibon;Oviedo;9;Fontibón;Fontibón;75
1041002;Bosque Popular;KR 69 47 43;Albergue Adulto Mayor SDIS;2630949;Jardin Botanico;S.C. Jardín Botánico;10;Engativá;Jardín Botánico;105
260001;Chapinero;CL 50 A 13 58;Atención a Personas en Prostitución;2494833;Marly;S.C. Marly;2;Chapinero;Chapinero;99
860002;Kennedy;KR 74 42 G 52 SUR;Atención a Personas en Prostitución;4528362;Timiza A;Lagos De Timiza I;8;Kennedy;Timiza;48
1460003;Los Martires;DG 22 B BIS 20 51;Atención a Personas en Prostitución;2448978;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
360004;Santa Fe;KR 2 4 10;Atención a Personas en Prostitución;2465631;Lourdes;Lourdes 2;3;Santa Fe;Las Cruces;95
1242013;Teusaquillo;AK 19 32 A 20;Atención al Adulto Mayor;;Teusaquillo;Teusaquillo;13;Teusaquillo;Teusaquillo;101
142001;Usaquen;CL 165 7 38;Atención al Adulto Mayor;6709098;Santa Teresa;Santa Teresa;1;Usaquén;La Uribe;10
242002;Chapinero;CL 50 A 13 58;Atención al Adulto Mayor;2494678;Marly;S.C. Marly;2;Chapinero;Chapinero;99
342003;Santafe - Candelaria;KR 2 4 10;Atención al Adulto Mayor;2892602;Lourdes;Lourdes 2;3;Santa Fe;Las Cruces;95
542005;Usme - Sumapaz;AC 91 SUR 3 C 34 ESTE;Atención al Adulto Mayor;7685865;Charala;Chuniza;5;Usme;Comuneros;58
642006;Tunjuelito;DG 47 A SUR 53 92;Atención al Adulto Mayor;7696933;Venecia;Venecia;6;Tunjuelito;Venecia;42
742007;Bosa;CL 73 SUR 81 B 10;Atención al Adulto Mayor;7802711;Gran Colombiano;Grancolombiano II Sector;7;Bosa;Bosa Central;85
842008;Kennedy;CL 38 SUR 94 C 29;Atención al Adulto Mayor;4528215;Galan;Bellavista_;8;Kennedy;Patio Bonito;82
942009;Fontibon;KR 104 B 22 J 15;Atención al Adulto Mayor;4181948;La Cabana Fontibon;La Giralda;9;Fontibón;Fontibón;75
1142011;Suba;KR 91 146 C 15;Atención al Adulto Mayor;6921232;Suba Urbano;S.C. Suba Urbano;11;Suba;Suba;27
1242012;Barrios Unidos;KR 58 67 D 31;Atención al Adulto Mayor;2509877;Popular Modelo;Popular Modelo;12;Barrios Unidos;Doce de Octubre;22
1842014;Rafael Uribe Uribe;KR 15 C 31 G 40 SUR;Atención al Adulto Mayor;3665335;Gustavo Restrepo;Gustavo Restrepo;18;Rafael Uribe;San José;36
1442015;Martires;DG 22 B BIS 20 51;Atención al Adulto Mayor;3684511;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
1642016;Puente Aranda - Antonio Nariño;KR 33 4 A 23;Atención al Adulto Mayor;2373467;Comuneros;Veraguas Central;16;Puente Aranda;Ciudad Montes;40
1835001;ESCNNA Rafael Uribe Uribe;KR 11 A 30 22 SUR;Atención Especializada ESCNNA;2095532-3135781370;Sosiego Sur;Avenida Décima;18;Rafael Uribe;San José;36
1435002;ESCNNA Martires;KR 19 A 22 B 14;Atención Especializada ESCNNA;3409498;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
1306013;Teusaquillo;AK 19 32 A 20;Atención Integral a la Primera Infancia en Ámbito Familiar;;Teusaquillo;Teusaquillo;13;Teusaquillo;Teusaquillo;101
106001;Usaquen;CL 165 7 38;Atención Integral a la Primera Infancia en Ámbito Familiar;6709098;Santa Teresa;Santa Teresa;1;Usaquén;La Uribe;10
206002;Chapinero;CL 50 A 13 58;Atención Integral a la Primera Infancia en Ámbito Familiar;2494678;Marly;S.C. Marly;2;Chapinero;Chapinero;99
306003;Santafe - Candelaria;KR 2 4 10;Atención Integral a la Primera Infancia en Ámbito Familiar;2892602;Lourdes;Lourdes 2;3;Santa Fe;Las Cruces;95
506005;Usme - Sumapaz;AC 91 SUR 3 C 34 ESTE;Atención Integral a la Primera Infancia en Ámbito Familiar;7685865;Charala;Chuniza;5;Usme;Comuneros;58
606006;Tunjuelito;DG 47 A SUR 53 92;Atención Integral a la Primera Infancia en Ámbito Familiar;7696933;Venecia;Venecia;6;Tunjuelito;Venecia;42
706007;Bosa;CL 73 SUR 81 B 10;Atención Integral a la Primera Infancia en Ámbito Familiar;7802711;Gran Colombiano;Grancolombiano II Sector;7;Bosa;Bosa Central;85
806008;Kennedy;CL 38 SUR 94 C 29;Atención Integral a la Primera Infancia en Ámbito Familiar;4528215;Galan;Bellavista_;8;Kennedy;Patio Bonito;82
906009;Fontibon;KR 104 B 22 J 15;Atención Integral a la Primera Infancia en Ámbito Familiar;4181948;La Cabana Fontibon;La Giralda;9;Fontibón;Fontibón;75
1106011;Suba;KR 91 146 C 15;Atención Integral a la Primera Infancia en Ámbito Familiar;6921232;Suba Urbano;S.C. Suba Urbano;11;Suba;Suba;27
1206012;Barrios Unidos;KR 58 67 D 31;Atención Integral a la Primera Infancia en Ámbito Familiar;2509877;Popular Modelo;Popular Modelo;12;Barrios Unidos;Doce de Octubre;22
1806014;Rafael Uribe Uribe;KR 15 C 31 G 40 SUR;Atención Integral a la Primera Infancia en Ámbito Familiar;3665335;Gustavo Restrepo;Gustavo Restrepo;18;Rafael Uribe;San José;36
1406015;Martires;DG 22 B BIS 20 51;Atención Integral a la Primera Infancia en Ámbito Familiar;3684511;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
1606016;Puente Aranda - Antonio Nariño;KR 33 4 A 23;Atención Integral a la Primera Infancia en Ámbito Familiar;2373467;Comuneros;Veraguas Central;16;Puente Aranda;Ciudad Montes;40
316001;CAVIF;KR 13 18 34;Atención victimas violencia intrafamiliar;2811615;La Capuchina;La Capuchina;3;Santa Fe;Las Nieves;93
317001;CAIVAS;DG 34 5 18;Atención victimas violencia sexual;232 22 65 288 05 57;La Merced;La Merced;3;Santa Fe;Sagrado Corazón;91
880001;Centro Amar Chapinero;CL 59 6 24;Centro Amar de Integración;2172029;La Salle;S.C. La Salle;2;Chapinero;Pardo Rubio;90
