EUREKA.COM;CARRERA 19 No 3 - 05 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;KR 19 3 05 SUR;4.59255444818392;-74.095094633333
DEPRISA  RESTREPO 2;CARRERA 24 NO 13 48 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 13 48 SUR;4.58989321454192;-74.1018975877466
TELMEL COMUNICACIONES;AVENIDA PRIMERO DE MAYO No 24B - 76 LOCAL 2;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;AV PRIMERO DE MAYO 24 B 76;4.58761322795205;-74.1074720285411
ALMACEN TECNOLOGICO TECNO MARKE BOGOTA;CALLE 17 SUR No 26 - 14;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;CL 17 SUR 26 14;4.59122975121693;-74.1060142810415
SERVICIOS RECICLADORA DE MATERIALES  A Y B;CARRERA 27 No 18 - 58 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 27 18 58 SUR;4.59037419574239;-74.1076502511463
CAFE INTERNET AAL PIZZO;CALLE 9 SUR NRO 25 B - 31;ANTONIO NARI�O;LA FRAGUITA;Ciudad Bolivar;CL 9 SUR 25 B 31;4.5939910598655;-74.101459905552
CAFE INTERNET BORRACRYL PAPELERIA;AVENIDA CALLE 53 No 74A - 35;ANTONIO NARI�O;LA FRAGUITA;Ciudad Bolivar;AC 53 74 A 35;4.675143813715261;-74.1095000903603
DROGUERIA LA BASTILLA;CARRERA 22 No 3 - 38 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;KR 22 3 38 SUR;4.5931049376616;-74.0967921437421
VARIEDADES JIREH;CARRERA 10 No 8 - 07 SUR;ANTONIO NARI�O;CIUDAD BERNA;Usme;KR 10 8 07 SUR;4.58388077235806;-74.0888125664611
CABINAS TELEFONICAS ACOSTEL NET;CALLE 54 SUR No 81B - 01;ANTONIO NARI�O;CIUDAD BERNA;Usme;CL 54 SUR 81 B 01;4.6184359654596765;-74.17612517358467
CAFE INTERNET CENTRO DE COMUNICACIONES Y DISEÑO PINCEL MAGICO;TRANSVERSAL 24I No 14 - 54 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;TV 24 I 14 54 SUR;4.5925784092547;-74.1039676830953
PAPELERIA ROT NET  COMUNICACIONES;CARRERA 29A No 22 - 50 SUR;ANTONIO NARI�O;SANTANDER SUR;Perdomo;KR 29 A 22 50 SUR;4.59132764853487;-74.1110795903897
TIENDA A COMER EN LA 30;AVENIDA CARRERA 30 No 18A - 44 SUR;ANTONIO NARI�O;SENA;Perdomo;AK 30 18 A 44 SUR;4.594857597241416;-74.1116755927441
CAFE INTERNET TELE CAB COMUNICACIONES;CALLE 5 SUR No 19 - 03;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 5 SUR 19 03;4.591433700204678;-74.09599183465737
PAPELERIA LUNA DE PAPEL MA;AVENIDA CARRERA 21 No 7 - 32 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;AK 21 7 32 SUR;4.59147207625755;-74.0980190970991
PAPELERIA MIL DETALLES M R A;CARRERA 14B No 1 - 62 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;KR 14 B 1 62 SUR;4.59198723604459;-74.0910582012304
SUPERMERCADO MERCA TODO NET;CALLE 12 SUR No 14 - 33;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 12 SUR 14 33;4.58574885432152;-74.0949969896974
VENTA DE SEGUROS SERVIPRIMO E U;CALLE 22 SUR No 30 - 09;ANTONIO NARI�O;SANTANDER SUR;Perdomo;CL 22 SUR 30 09;4.59162965500838;-74.1108370922566
CAFE INTERNET MUNDOTEL;CARRERA 29A No 26 18 SUR;ANTONIO NARI�O;SANTANDER SUR;Perdomo;KR 29 A 26 18 SUR;4.59122917107046;-74.1115575008033
CAFE INTERNET S.DIGITRONIK;AVENIDA CARRERA 30 No 18 - 26 SUR;ANTONIO NARI�O;SENA;Perdomo;AK 30 18 26 SUR;4.5952186838337035;-74.11117608729407
COMPRA-VENTA ARCO DEL TRIUNFO;CALLE 20 SUR No 10 - 40;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 20 SUR 10 40;4.57614887104063;-74.0947547534227
DROGUERIA DROGAS SANCHEZ E HIJOS;CALLE 19 SUR No 11 - 06;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 19 SUR 11 06;4.57812099965408;-74.095832639082
ESTACION DE SERVICIO ELS TEXACO 25;AVENIDA CALLE 11 SUR No 15 - 11;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;AC 11 SUR 15 11;4.58742442697892;-74.0956542554071
DROGUERIA VICTORIA FARMA;CALLE 1 No 24 - 05;ANTONIO NARI�O;LA FRAGUITA;Ciudad Bolivar;CL 1 24 05;4.59406352880416;-74.0966295858284
