ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
CIUDAD JARDIN;CARRERA 10 ON CALLE 12 SUR;ANTONIO NARI—O;CARACAS;San Cristobal;01/09/2014
EUREKA.COM;CARRERA 19 SUR No 3 - 05;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
DEPRISA  RESTREPO 2;CARRERA 24 NO 13 48 SUR;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
TELMEL COMUNICACIONES;AVENIDA PRIMERO DE MAYO No 24B - 76 LOCAL 2;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
ALMACEN TECNOLOGICO TECNO MARKE BOGOTA;CALLE 17 SUR No 26 - 14;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
SERVICIOS RECICLADORA DE MATERIALES  A Y B;CARRERA 27 No 18 - 58 SUR;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
CAFE INTERNET AAL PIZZO;CALLE 9 SUR NRO 25 B - 31;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
CAFE INTERNET BORRACRYL PAPELERIA;AVENIDA CALLE 53 No 74A - 35;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
DROGUERIA LA BASTILLA;CARRERA 22 No 3 - 38 SUR;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
VARIEDADES JIREH;CARRERA 10 No 8 - 07 SUR;ANTONIO NARI—O;CIUDAD BERNA;Usme;01/09/2014
CABINAS TELEFONICAS ACOSTEL NET;CALLE 54 SUR No 81B - 01;ANTONIO NARI—O;CIUDAD BERNA;Usme;01/09/2014
CAFE INTERNET CENTRO DE COMUNICACIONES Y DISE√ëO PINCEL MAGICO;TRANSVERSAL 24I No 14 - 54 SUR;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
PAPELERIA ROT NET  COMUNICACIONES;CARRERA 29A No 22 - 50 SUR;ANTONIO NARI—O;SANTANDER SUR;Perdomo;01/09/2014
TIENDA A COMER EN LA 30;AVENIDA CARRERA 30 No 18A - 44 SUR;ANTONIO NARI—O;SENA;Perdomo;01/09/2014
CAFE INTERNET TELE CAB COMUNICACIONES;CALLE 5 SUR No 19 - 03;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
PAPELERIA LUNA DE PAPEL MA;AVENIDA CARRERA 21 No 7 - 32 SUR;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
PAPELERIA MIL DETALLES M R A;CARRERA 14B No 1 - 62 SUR;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
SUPERMERCADO MERCA TODO NET;CALLE 12 SUR No 14 - 33;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
VENTA DE SEGUROS SERVIPRIMO E U;CALLE 22 SUR No 30 - 09;ANTONIO NARI—O;SANTANDER SUR;Perdomo;01/09/2014
CAFE INTERNET MUNDOTEL;CARRERA 29A No 26 18 SUR;ANTONIO NARI—O;SANTANDER SUR;Perdomo;01/09/2014
CAFE INTERNET S.DIGITRONIK;AVENIDA CARRERA 30 No 18 - 26 SUR;ANTONIO NARI—O;SENA;Perdomo;01/09/2014
COMPRA-VENTA ARCO DEL TRIUNFO;CALLE 20 SUR No 10 - 40;ANTONIO NARI—O;CIUDAD JARDIN SUR;Usme;01/09/2014
DROGUERIA DROGAS SANCHEZ E HIJOS;CALLE 19 SUR No 11 - 06;ANTONIO NARI—O;CIUDAD JARDIN SUR;Usme;01/09/2014
CAFE INTERNET ZOFIM COMUNICACIONES;CARRERA 22 No 3A - 18 SUR;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
CAFE INTERNET P Y R CORREO Y COMUNICACIONES;AVENIDA 24 No 3 - 28 SUR;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
ESTACION DE SERVICIO ELS TEXACO 25;AVENIDA CALLE 11 SUR No 15 - 11;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
DROGUERIA VICTORIA FARMA;CALLE 1 No 24 - 05;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
ACCESORIOS PARA CELULAR CONTACTO SA;CALLE 17 SUR No 17 - 47;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
PAPELERIA EL INSTITUTO;CALLE 14 SUR No 18 - 22;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CAFE INTERNET ZAEXPRESS;CALLE 19 SUR No 18 - 06;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CABINAS TELEFONICAS TECNOVATAR;CARRERA 17 No 16 - 15 SUR;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CAFE INTERNET SERVICIOS MEGA NET;CALLE 39A SUR No 34D - 51;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
PAPELERIA J.J.S.;CARRERA 27 NO 14 - 71 SUR;ANTONIO NARI—O;LA FRAGUA;Perdomo;01/09/2014
DROGUERIA HIPERDROGUERIA SAN ANTONIO;CALLE 4 SUR No 14B - 28;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
MISCELANEA Y PAPELERIA DONDE NANOS;CALLE 10B SUR No 18A - 32;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
MISCELANEA Y PAPELERIA JORGE SALCEDO;AVENIDA CARACAS No 2 - 71 SUR;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
CABINAS TELEFONICAS MIRTHA ROJAS;CARRERA 14B No 2 - 72 SUR;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
PAPELERIA EL ENCANTO Y2;CALLE 7 SUR No 18 - 95 PISO 1;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
CAFE INTERNET BRANDON COMUNICACIONES;CARRERA 14B SUR No 0 - 75;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
MISCELANEA ENVIA;CARRERA 22 No 1 - 57 SUR;ANTONIO NARI—O;LA FRAGUITA;Ciudad Bolivar;01/09/2014
DISTRIBUIDARA EXPRESS LAUFER;CALLE 19 SUR No 24H - 40;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
CAFE INTERNET COMPU MUNDO;CARRERA 28 No 14 - 04 SUR;ANTONIO NARI—O;LA FRAGUA;Perdomo;01/09/2014
DISTRIBUIDORA DE ASEO VALENTINA;CALLE 9 SUR No 19 - 05 LOCAL 2;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
CABINAS TELEFONICAS CLARITA;AVENIDA CARRERA 30 No 27A SUR - 99;ANTONIO NARI—O;EDUARDO FREY;Perdomo;01/09/2014
CAFE INTERNET CAD COMUNICACIONES;CALLE 19 SUR No 14 - 51;ANTONIO NARI—O;CIUDAD JARDIN SUR;Usme;01/09/2014
CAFE INTERNET OK;TRANSVERSAL 13K BIS No 45B - 15;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
PAPELERIA PRODUCTOS ONNI;CALLE 16 SUR No 16 - 88 LOCAL 103;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
PAPELERIA Y DETALLES DONDE ISAAC;CARRERA 22 No 14 - 12 SUR;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
SIN BOGOTA RESTREPO 2;CALLE  16 SUR No 18 - 49 LOCAL 212;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CAFE INTERNET COMUNICACIONES LIYI;CALLE 63 SUR No 73 - 41;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CAFE INTERNET KAREN MORALES;CARRERA 19 No 13A - 08 SUR;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
MINI MERCADO ESTEFANIA;CARRERA 16 No 17 - 25 SUR;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CAFE INTERNET O H SERVINET;CALLE 20 SUR No 29C - 86;ANTONIO NARI—O;SANTANDER;Perdomo;01/09/2014
DROGUERIA CARISMA NUMERO UNO;CALLE 37 BIS SUR No 33 - 28;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
MISCELANEA CACHARRERIA MADI;CALLE 35B SUR No 26F - 47;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
DROG SARALUNA;CALLE 37 BIS SUR NO 33 A - 38;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
CAFE INTERNET OCHO.COM;TRANSVERSAL 35 No 38 - 72 SUR;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
DEPRISA EXITO CENTRO MAYOR;CARRERA 27 N 38A - 83 SUR;ANTONIO NARI—O;VILLA MAYOR ORIENTAL;Perdomo;01/09/2014
MISCELANEA HERLOZ;CARRERA 29A SUR No 20 - 30;ANTONIO NARI—O;SANTANDER;Perdomo;01/09/2014
DEPRISA RESTREPO;CALLE 15 SUR NO 18 - 58;ANTONIO NARI—O;RESTREPO;Ciudad Bolivar;01/09/2014
CABINAS TELEFONICAS CLARO CELULACER;CARRERA 24 No 16 - 31 SUR;ANTONIO NARI—O;RESTREPO OCCIDENTAL;Ciudad Bolivar;01/09/2014
PAPELERIA LINDA - MICELANA LINDA;TRANSVERSAL 35 No 29 - 78 SUR;ANTONIO NARI—O;EDUARDO FREY;Perdomo;01/09/2014
CAFE INTERNET TELECABINAS E INTERNTET;AVENIDA 1 DE MAYO No 12B - 54;ANTONIO NARI—O;CIUDAD JARDIN SUR;Usme;01/09/2014
DROGUERIA HEROES;AVENIDA 1 DE MAYO NO 12H - 77;ANTONIO NARI—O;CIUDAD JARDIN SUR;Usme;01/09/2014
POLICARPA;CARRERA 10 CON CALLE 2 SUR;ANTONIO NARI—O;POLICARPA;San Cristobal;01/09/2014
CAFE INTERNET COMPU LIBS;CALLE 12 SUR No 14 - 51;ANTONIO NARI—O;SAN ANTONIO;Ciudad Bolivar;01/09/2014
