LATITUD;LONGITUD;IDENTIFICADOR;NOMBRE PARADERO;VIA PARADERO;DIRECCION PARADERO
4.614275637;-74.213364391;125A09;Dg 90 Sur;Tv  80I;Tv  80i - Dg 90 S
4.614304636;-74.213201386;124A09;Br San Diego;Tv  80I;Tv  80i - Dg 89B S
4.612914611;-74.210471303;127A09;Br San José;Kr  80I;Kr 80i - Cl 85B S
4.612847610;-74.210377300;126A09;Br el Jardín;Kr  80I;Kr 80i - Cl 87B S
4.606329516;-74.202592075;489A09;Br. V Anny I;Cl 74 S;Cl 74A S - Kr 79 Bis A
4.607681532;-74.203333093;134A09;Br San Bernardino I;Dg  74 A S;Dg 74A S - Kr 78i
4.608362530;-74.201859041;138A09;Kr 79C;Dg  74 A S;Dg 74A S - Kr 79C
4.608172525;-74.201019015;137A09;Dg 73H;Kr  79D;Kr 79D - Dg 73H S
4.607307512;-74.199911983;486A09;Br. José María Carbonell;Tv  78D;Tv  79D - Cl 73B S
4.612007586;-74.206806187;145A09;Br el Jardín;Kr  80K;Kr 80K - Cl 82B S
4.611971585;-74.206730184;144A09;Br San Diego Bosa;Kr  80K;Kr 80K - Cl 82B S
4.610020554;-74.203882100;149A09;Pq la Esperanza;Kr  80J;Kr 80J - Cl 75
4.609808552;-74.203662094;148A09;Pq la Esperanza;Kr  80J;Kr 80J - Cl 75 S
4.599568411;-74.192701782;158A09;Br. Pablo VI;Kr 77J;Kr 77J - Cl 70B S
4.599655410;-74.192408772;159A09;Br. Pablo VI;Kr 77J;Kr 77J - Cl 70B S
4.599032393;-74.189913693;273A09;Br. La Estación;Kr 77J;Kr 77J - Cl 69B S
4.598706388;-74.189367677;162A09;Br. La Estación;Kr 77J;Kr 77J - Cl 68 - 54S
4.598342363;-74.184907532;164A09;Br. San Pablo II Sector;Kr 77J;Kr 77J - Cl 65G S
4.598229362;-74.184835530;163A09;Br. San Pablo II Sector;Kr 77J;Kr 77J - Cl 65G S
4.603612468;-74.197374917;485A09;Br. José María Carbonell;Kr 78C;Kr 78C - Cl 72 S
4.603720469;-74.197307914;484A09;Br. José María Carbonell;Kr 78C;TV 79D - Cl 72A S
4.604665473;-74.196481882;167A09;Cl 71D;Tv  78D;Tv  78D - Cl 71D S
4.604312468;-74.196050870;166A09;Br José María Carbonell;Tv  78D;Tv  79D - Cl 72B S
4.607020508;-74.199497970;490A09;Br Gran Colombiano;Tv  79D;Tv  79D - Cl 73B S
4.606819506;-74.199422969;168A09;Br. Villa Anny I;Tv  79D;Tv  79D - Dg 73B S
4.602033443;-74.194971845;483A09;Br. José María Carbonell;Cl 71A S;Cl 71A S - Kr 78
4.602013443;-74.194899843;482A09;Br. José María Carbonell;Cl 71A S;Cl 71A S - Kr 78A
4.602991444;-74.193497792;177A09;Br Nueva Granada Bosa;Kr  78C;Kr 78C - Cl 70B S
4.602835440;-74.192890773;178A09;Br Piamonte Naranjos;Kr  78C;Kr 78C - Cl 70 S
4.610192517;-74.195792833;194A09;Colegio Antonio Ricaurte Sede;Kr 81;Kr 81 - Cl 71F S
4.610124516;-74.195734832;193A09;CED Cafam los Naranjos;Kr 81;Kr 81 - Cl 71F S
4.610613523;-74.196160844;195A09;Br. Gran Colombiano;Dg 72 S;Dg 72 S - Kr 81
4.610534521;-74.196087841;196A09;CED Humberto Valencia;Dg 72 S;Dg 72 S - Kr 81
4.612238537;-74.196196837;197A09;Br. Gran Colombiano;Cl 72 A S;Cl 72 A S - Kr 81H
4.612293537;-74.196124834;198A09;Br. Paso Ancho;Cl 72 A S;Cl 72A S - Kr 81H
4.615213575;-74.198808909;514A09;Br Islandia;Cl 73F Bis Sur;N/A
4.615134565;-74.196997849;512A09;Br Islandia;Dg 73 BIS Sur;N/A
4.615002564;-74.196886846;513A09;Br Islandia KR83A;Dg 73 BIS Sur;N/A
4.609746505;-74.194026778;203A09;Liceo Moderno San Francisco;Kr 81;Kr 81 - Cl 71 S
4.609662501;-74.193337755;204A09;Pq. Paso Ancho;Kr 81;Kr 81 - Cl 70A Bis S
4.609625492;-74.191602698;206A09;Br. San Pablo Bosa;Cl 68A S;Cl 68A S - Kr 80N
4.609709493;-74.191541696;207A09;Br. Jiménez de Quesada II Sect;Cl 68A S;Cl 68A S - Kr 80N Bis
4.602675430;-74.190996712;070A09;Registraduría Auxiliar de Bosa;Tv  78L;Tv 78L - Dg 69C S
4.603399432;-74.190224683;069A09;Br. San Pablo Bosa;Tv  78L;Tv 78L - Cl 69A S
4.604469436;-74.189219645;220A09;Tv  79;Cl 68A S;Cl 68A S - Tv  79
4.604529437;-74.189221645;221A09;Tv  79;Cl 68A S;Cl 68A S - Tv  79
4.604736434;-74.188182609;071A09;Plaza de Mercado San Pablo I S;Tv  78L;Tv 78L - Cl 66 S
4.605025436;-74.188065604;072A09;Salón Comunal Bosa San Pablo;Tv  78L;Tv 78L - Cl 67 S
4.606233457;-74.190308672;222A09;IED Fernando Mazuera Villegas;Cl 68A S;Cl 68A S - Tv  80F
4.606186456;-74.190248670;223A09;Pq. Virgen del Carmen;Cl 68A S;Cl 68A S - Tv  80F
4.608085476;-74.191067688;224A09;Parroquia el Divino Niño Jesús;Cl 68A S;Cl 68A S - Kr 80K
4.608457480;-74.191139689;225A09;Pq. Deportivo Piamonte;Cl 68A S;Cl 68A S - Kr 80K
4.605399438;-74.187934598;226A09;Cementerio de Bosa;Dg 66;Dg 66 S - Tv  80 A
4.604074405;-74.183398455;049A09;Éxito Bosa;Cl 65 S;Cl 65 S - Kr 78H
4.606924448;-74.187265569;233A09;Br. Jiménez de Quesada Cl 65F;Kr  80 C;Kr 80 C - Cl 65 F S
4.606795446;-74.186997561;230A09;Br. Jiménez de Quesada II Sect;Tv  80B;Tv  80B - Cl 65F S
4.607557446;-74.185601511;073A09;CED Los Andes;Kr 80C;Kr 80C - Cl 65 S
4.607719447;-74.185687513;074A09;Colegio Nuestra Señora de Naza;Kr 80C;Kr 80C - Cl 65D S
4.608793456;-74.185635506;076A09;Monasterio de la Visitación de;Cl 65 S;Cl 65 S - 80C
4.607047437;-74.184708484;052A09;Zona Recreativa la Av. Bosa;Cl 65 S;Cl 65 S - Kr 80
4.607717438;-74.183749450;051A09;Plaza de Mercado Bosa Centro;Cl 63 S;Cl 63 S - Kr 80
4.616002528;-74.187644538;066A09;La Paz Bosa;Cl 62 S;Cl 62 S - Kr 82C
4.609707467;-74.186242522;053A09;Colegio Inmaculado Corazon de;Cl 65 S;Cl 65 S - 80 I
4.611940488;-74.186607523;043A09;IED Francisco de Paula Santand;Cl 63 S;Cl 63 S - Kr 81C
4.611506482;-74.186189512;044A09;Centro Educativo Argelia;Cl 63 S;Cl 63 S - Kr 81 B
4.609640461;-74.184991481;042A09;Plaza de Mercado Bosa Centro;Cl 63 S;Cl 63 S - 80 H
4.615751524;-74.187282527;065A09;Br La Paz Bosa;Cl 62 S;Cl 62 S - Kr 82G
4.632431741;-74.202395944;224A08;Ciudadela El recreo 1A - 1B -2;Kr  97 C;Kr 97 C - Cl 71S
4.632398740;-74.202246939;223A08;Ciudadela El recreo 1A - 1B -2;Kr  97 C;Kr 97 C - Cl 71 S
