HOSPEDAJE CASA ARANA;KR 66 12 06;2906464 -  - ;casaarana@hotmail.com;NA;-74.1179725099466;4.63447777834939
APARTAHOTEL LAGOS DEL NORTE;KR 23 67 20;2491610 - 2491637 - ;hotel.lagos.del.norte@gmail.com;NA;-74.06911189521988;4.657987005937423
HOTEL CANDILEJAS;CL 68 17 28;6061236 - 2357329 - 3144336865;angelinav68@hotmail.com;NA;-74.0658517480742;4.65658722757506
HOTEL BOYAC� LA 24;KR 24 68 35;2502241 - 2315994 - ;NA;NA;-74.0695938830706;4.6593627448831
HOSTAL MONSERRAT;KR 24 82 43;6168160 -  - ;alpesbogota@hotmail.com - julianleus@hotmail.com;NA;-74.0633975297175;4.67069742332848
ALPES BOGOT� HOSTAL;KR 48 93 64;6221738 - 6168160 - ;alpesbogota@hotmail.com - julianleus@hotmail.com;www.alpesbogotacasahotel.com;-74.06113089639628;4.681372281070212
HOTEL LORD;CL 63 14 62;2550530 -  - ;hotel_lord@yahoo.com.ar - info@hotel-lord.com;www.hotel-lord.com;-74.065206085126;4.64981819246039
SUITE B�SICAS INN - SUITES EJECUTIVAS ECON�MICAS;CL 63 D 22 44;3125956 - 2552313 - 2482522;basicasinn@gmail.com;www.hotelbogotainn.com;-74.07097197494518;4.654480149747065
SUITTES INN TUR�STICAS CALLE 63;CL 63 28 62;2116901 - 2490387 - 2489640;turisticas63@hotelbogotainn.com;www.hotelbogotainn.com;-74.0763201934868;4.6518749978464
APARTAMENTOS CEDROS 63 INN  - APARTAMENTO LOS CEDROS;CL 63 C 21 46;3453963 - 3452603 - 5486174;apartamentoscedro@gmail.com;www.hotelbogotainn.com;-74.0704683153161;4.65335012133212
HOTEL 63 INN EJECUTIVO;CL 63 D 21 26;2116459 - 7495314 - ;hotel_63in_ejecutivo@hotmail.com;www.hotelesejecutivobogota.com;-74.07015907539561;4.654376502132642
SUITES INN ECON�MICAS CALLE 63;CL 63 B 21 30;2492160 - 2492077 - 2492289;economicas63@gmail.com;www.hotelbogotainn.com;-74.07049260936982;4.652739299310188
HOTEL SAN JOS� BAVARIA 1;CL 12 71 D 60;2925026 - 4126025 - ;hotelsanjosebavaria@hotmail.com;NA;-74.1306184739836;4.64329479301736
