ID;RNT;NOMBRE COMERCIAL;TIPO;DIRECCION;LOCALIDAD;TELEFONO;E MAIL;PAGINA WEB;RANGO TARIFA;ZONA;ESTADO
3;16153;HOSPEDAJE CASA ARANA;HOTEL;KR 66 12 06;PUENTE ARANDA;2906464 -  - ;casaarana@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
6;5230;HOTEL CANDILEJAS;HOTEL;CL 68 17 28;BARRIOS UNIDOS;6061236 - 2357329 - 3144336865;angelinav68@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
10;11493;HOTEL BOYACÁ LA 24;HOTEL;KR 24 68 35;BARRIOS UNIDOS;2502241 - 2315994 - ;NA;NA;Menos de $ 60.000;No Pertenece a ZIT;
11;13635;APARTAHOTEL LAGOS DEL NORTE;HOTEL;KR 23 67 20;BARRIOS UNIDOS;2491610 - 2491637 - ;hotel.lagos.del.norte@gmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
13;4631;HOSTAL MONSERRAT;ALOJAMIENTO RURAL;KR 24 82 43;BARRIOS UNIDOS;6168160 -  - ;alpesbogota@hotmail.com - julianleus@hotmail.com;NA;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
14;8166;ALPES BOGOTÁ HOSTAL;ALOJAMIENTO RURAL;KR 48 93 64;BARRIOS UNIDOS;6221738 - 6168160 - ;alpesbogota@hotmail.com - julianleus@hotmail.com;www.alpesbogotacasahotel.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
22;7445;HOTEL LORD;HOTEL;CL 63 14 62;TEUSAQUILLO;2550530 -  - ;hotel_lord@yahoo.com.ar - info@hotel-lord.com;www.hotel-lord.com;Menos de $ 60.000;No Pertenece a ZIT;
23;14447;SUITE BÁSICAS INN - SUITES EJECUTIVAS ECONÓMICAS;HOTEL;CL 63 D 22 44;BARRIOS UNIDOS;3125956 - 2552313 - 2482522;basicasinn@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
24;13620;SUITTES INN TURÍSTICAS CALLE 63;HOTEL;CL 63 28 62;BARRIOS UNIDOS;2116901 - 2490387 - 2489640;turisticas63@hotelbogotainn.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
25;14450;APARTAMENTOS CEDROS 63 INN  - APARTAMENTO LOS CEDROS;HOTEL;CL 63 C 21 46;BARRIOS UNIDOS;3453963 - 3452603 - 5486174;apartamentoscedro@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
