AEROPUERTO ELDORADO TERCEL NIVEL  LOCAL 101;
AVENIDA CALLE 26 NO 106 - 47 PRIMER PISO DIAGONAL PORTERIA 4 (VUELOS NACIONALES DE AVIANCA);AC 26 106 47
AEROPUERTO NUEVO DORADO MUELLE NACIONAL SUR LOCAL 91;
AEROPUERTO EL DORADO LOCAL 2346 - 2347;
PUENTE AEREO  LOCAL  L-2 209 AEROPUERTO;
CARRERA 7 NO 32 - 83 LOCAL 102;KR 7 32 83
CENTRO COMERCIAL HACIENDA SANTA BARBARA CARRERA 7 NO 115 - 72 LOCAL E-111;KR 7 115 72
CALLE  93A NO 14 - 30;CL 93 A 14 30
CENTRO COMERCIAL PLAZA DE LAS 'AMERICAS' CARRERA 71 D  NO 6 - 94 SUR  LOCAL 2912;KR 71 D 6 94 SUR
AVENIDA 116 NO 18B - 75;AV 116 18 B 75
CALLE 81 A NO 13 A - 05 LOCAL 01-02;CL 81 A 13 A 05
CALLE 80 NO 13 A - 20 LOCAL 403;CL 80 13 A 20
CALLE 100 NO 8 - 75 PRIMER PISO;CL 100 8 75
CARRERA 9 NO 71 - 24;KR 9 71 24
CALLE 93 A NO 12 - 57 LOCAL 3 Y 4;CL 93 A 12 57
AVENIDA CALLE 116 NO 15 - 59;AC 116 15 59
AVENIDA CALLE 116 NO 15 - 65;AC 116 15 65
CARRERA 11 NO 82 - 01 LOCAL 405;KR 11 82 01
CALLE 83 NO 12 A - 63;CL 83 12 A 63
CARRERA 7 NO 69 - 26;KR 7 69 26
CALLE 69 A NO 4 - 93;CL 69 A 4 93
CARRERA 10 NO 26 - 60;KR 10 26 60
CARRERA 11 NO 85  - 79;KR 11 85 79
CARRERA 13 NO  28  -  08 LOCAL 36;KR 13 28 08
CALLE 100 NO 8 A - 55 LOCAL 138 - 139;CL 100 8 A 55
AVENIDA JIMENEZ NO 3 - 57;AV JIMENEZ 3 57
AVENIDA CALLE 13 NO 4 - 55;AC 13 4 55
CARRERA 12A NO 83  -  40;KR 12 A 83 40
CALLE 93B NO 12  -  28 LOCAL 101;CL 93 B 12 28
CARRERA 6 A NO 119 - 01;KR 6 A 119 01
CALLE 116 NO 17 - 13;CL 116 17 13
CARRERA 15 NO 96 - 67;KR 15 96 67
CALLE 93 A NO 11 - 49;CL 93 A 11 49
CENTRO COMERCIAL ANDINO PLAZA CARRERA 11 NO 82 - 71 PISO 4 LOCAL 406 ;KR 11 82 71
CALLE 82 NO 13 - 07 ;CL 82 13 07
CALLE 69 A NO 10 - 03 ;CL 69 A 10 03
CALLE 71 NO 4 - 55;CL 71 4 55
CARRERA 7 NO 27 - 80;KR 7 27 80
CARRERA 70 B NO 25 - 47 SUR;KR 70 B 25 47 SUR
CALLE 85 NO 16 - 48 LOCAL 1;CL 85 16 48
CARRERA 12 NO 83 - 33;KR 12 83 33
CARRERA 11 A NO 93 A - 94 ;KR 11 A 93 A 94
CARRERA 6 NO 119 - 24;KR 6 119 24
AVENIDA 19 NO 120 - 76;AV 19 120 76
CALLE 85 NO 13  - 06;CL 85 13 06
CARRERA 14 NO 83 - 70 PISO 2;KR 14 83 70
CARRERA 9  69A -  63;KR 9 69 A 63
CARRERA 13  NO 82 - 74;KR 13 82 74
AVENIDA 19  NO 118 - 75;AV 19 118 75
CALLE 93B NO 12 - 28;CL 93 B 12 28
CALLE 69 NO 5 - 61;CL 69 5 61
CARRERA 13 NO 85 - 35;KR 13 85 35
CALLE 83 NO 12A - 11;CL 83 12 A 11
CARRERA 13 NO 85 - 32;KR 13 85 32
CARRERA 13 NO 83 - 48;KR 13 83 48
CALLE 16 NO 5 - 41;CL 16 5 41
CARRERA  13 NO 27 - 98 PISO 2;KR 13 27 98
CALLE 100 NO 8 A - 55 PISO 12;CL 100 8 A 55
